date,weekday,month,year,steps,distance_km,calorias,music_minutes,music_unique_artists,music_main_context,podcast_minutes,podcast_main_topic,netflix_minutes,netflix_interactions,netflix_content_topic,ml_purchases,ml_main_category
2025-04-11,Friday,4,2025,4918,3.3,110,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,1,belleza
2025-04-12,Saturday,4,2025,7438,5.3,184,70,22,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-04-13,Sunday,4,2025,10425,7.2,244,89,62,no_determinado,5,otros,297,18,cultural_historico,0,sin_compras
2025-04-14,Monday,4,2025,9966,7.0,265,0,0,sin_musica,0,sin_podcast,55,1,drama_emocional,0,sin_compras
2025-04-15,Tuesday,4,2025,5587,3.6,148,48,58,argentina,14,bienestar_desarrollo,82,5,cultural_historico,0,sin_compras
2025-04-16,Wednesday,4,2025,8961,6.2,232,35,40,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-04-17,Thursday,4,2025,3792,2.5,85,67,47,no_determinado,46,bienestar_desarrollo,253,17,otros,0,sin_compras
2025-04-18,Friday,4,2025,6843,4.4,130,64,22,no_determinado,0,sin_podcast,49,5,crimen_thriller,0,sin_compras
2025-04-19,Saturday,4,2025,7081,4.9,166,32,19,no_determinado,48,bienestar_desarrollo,27,1,crimen_thriller,0,sin_compras
2025-04-20,Sunday,4,2025,4539,3.0,96,193,102,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-04-21,Monday,4,2025,5859,4.0,166,113,34,usa,0,sin_podcast,47,4,crimen_thriller,0,sin_compras
2025-04-22,Tuesday,4,2025,8879,6.1,236,12,11,argentina,0,sin_podcast,108,3,otros,0,sin_compras
2025-04-23,Wednesday,4,2025,6749,4.6,181,12,19,argentina,41,actualidad,0,0,sin_netflix,0,sin_compras
2025-04-24,Thursday,4,2025,7345,4.9,182,38,20,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-04-25,Friday,4,2025,4036,2.6,80,18,13,usa,0,sin_podcast,215,18,otros,0,sin_compras
2025-04-26,Saturday,4,2025,6975,4.7,155,112,87,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-04-27,Sunday,4,2025,3507,2.3,69,76,38,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-04-28,Monday,4,2025,8348,5.5,199,113,82,no_determinado,6,bienestar_desarrollo,0,0,sin_netflix,0,sin_compras
2025-04-29,Tuesday,4,2025,7367,4.7,208,13,4,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-04-30,Wednesday,4,2025,7583,4.9,183,0,0,sin_musica,0,sin_podcast,41,1,cultural_historico,0,sin_compras
2025-05-01,Thursday,5,2025,445,0.3,10,10,4,argentina,0,sin_podcast,392,15,cultural_historico,0,sin_compras
2025-05-02,Friday,5,2025,4909,3.4,109,4,1,usa,0,sin_podcast,46,2,otros,0,sin_compras
2025-05-03,Saturday,5,2025,3650,2.6,87,93,64,no_determinado,50,actualidad,253,19,drama_emocional,0,sin_compras
2025-05-04,Sunday,5,2025,5529,3.9,140,94,24,argentina,70,bienestar_desarrollo,156,11,drama_emocional,0,sin_compras
2025-05-05,Monday,5,2025,7992,5.1,219,0,0,sin_musica,0,sin_podcast,38,2,drama_emocional,0,sin_compras
2025-05-06,Tuesday,5,2025,6487,4.4,166,0,0,sin_musica,0,sin_podcast,35,3,drama_emocional,0,sin_compras
2025-05-07,Wednesday,5,2025,5850,4.0,171,9,32,argentina,0,sin_podcast,78,3,otros,0,sin_compras
2025-05-08,Thursday,5,2025,8153,5.3,221,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-05-09,Friday,5,2025,606,0.4,13,0,0,sin_musica,0,sin_podcast,17,2,drama_emocional,0,sin_compras
2025-05-10,Saturday,5,2025,1079,0.8,24,88,61,argentina,0,sin_podcast,23,2,drama_emocional,0,sin_compras
2025-05-11,Sunday,5,2025,354,0.2,6,139,92,no_determinado,0,otros,9,1,drama_emocional,0,sin_compras
2025-05-12,Monday,5,2025,7004,4.7,197,23,6,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-05-13,Tuesday,5,2025,5940,3.5,119,0,0,sin_musica,0,sin_podcast,75,4,otros,0,sin_compras
2025-05-14,Wednesday,5,2025,5468,3.4,135,0,0,sin_musica,24,salud,97,14,otros,0,sin_compras
2025-05-15,Thursday,5,2025,6437,4.4,173,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-05-16,Friday,5,2025,3312,2.0,62,34,22,argentina,0,sin_podcast,54,4,cultural_historico,0,sin_compras
2025-05-17,Saturday,5,2025,1103,0.8,22,50,23,no_determinado,0,sin_podcast,132,6,drama_emocional,0,sin_compras
2025-05-18,Sunday,5,2025,2991,2.1,72,64,53,no_determinado,56,cultural,48,4,drama_emocional,0,sin_compras
2025-05-19,Monday,5,2025,5287,3.7,158,66,49,no_determinado,0,sin_podcast,35,4,drama_emocional,0,sin_compras
2025-05-20,Tuesday,5,2025,441,0.3,8,105,4,argentina,0,sin_podcast,20,2,drama_emocional,0,sin_compras
2025-05-21,Wednesday,5,2025,7872,5.3,220,53,11,argentina,50,actualidad,0,0,sin_netflix,0,sin_compras
2025-05-22,Thursday,5,2025,12003,8.1,337,38,5,argentina,0,actualidad,0,0,sin_netflix,0,sin_compras
2025-05-23,Friday,5,2025,1842,1.2,40,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-05-24,Saturday,5,2025,1461,1.0,32,55,21,argentina,85,actualidad,77,3,otros,0,sin_compras
2025-05-25,Sunday,5,2025,362,0.2,7,280,45,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-05-26,Monday,5,2025,4595,3.1,146,39,10,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-05-27,Tuesday,5,2025,4810,3.1,132,36,21,argentina,0,sin_podcast,30,3,drama_emocional,0,sin_compras
2025-05-28,Wednesday,5,2025,5979,3.7,164,62,15,argentina,0,sin_podcast,63,4,drama_emocional,0,sin_compras
2025-05-29,Thursday,5,2025,3051,2.1,64,11,16,no_determinado,0,actualidad,42,2,drama_emocional,0,sin_compras
2025-05-30,Friday,5,2025,11358,8.2,268,26,17,no_determinado,61,actualidad,0,0,sin_netflix,0,sin_compras
2025-05-31,Saturday,5,2025,2498,1.6,45,0,0,sin_musica,0,sin_podcast,249,24,crimen_thriller,0,sin_compras
2025-06-01,Sunday,6,2025,3411,2.3,67,0,0,sin_musica,0,sin_podcast,43,1,crimen_thriller,0,sin_compras
2025-06-02,Monday,6,2025,6820,4.5,195,53,19,no_determinado,6,actualidad,42,2,drama_emocional,0,sin_compras
2025-06-03,Tuesday,6,2025,7108,4.5,183,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-06-04,Wednesday,6,2025,4066,2.9,103,15,16,argentina,0,sin_podcast,38,2,drama_emocional,0,sin_compras
2025-06-05,Thursday,6,2025,5400,3.6,153,148,22,instrumental,0,actualidad,0,0,sin_netflix,0,sin_compras
2025-06-06,Friday,6,2025,2495,1.6,62,150,30,no_determinado,0,otros,0,0,sin_netflix,0,sin_compras
2025-06-07,Saturday,6,2025,2197,1.4,46,7,4,usa,0,sin_podcast,186,11,drama_emocional,0,sin_compras
2025-06-08,Sunday,6,2025,506,0.3,8,402,43,instrumental,0,otros,67,6,drama_emocional,0,sin_compras
2025-06-09,Monday,6,2025,2278,1.5,52,14,1,usa,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-06-10,Tuesday,6,2025,8285,5.7,242,0,0,sin_musica,4,actualidad,65,2,otros,0,sin_compras
2025-06-11,Wednesday,6,2025,9328,6.3,243,0,0,sin_musica,0,sin_podcast,126,4,otros,0,sin_compras
2025-06-12,Thursday,6,2025,8747,5.6,229,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-06-13,Friday,6,2025,2457,1.7,58,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-06-14,Saturday,6,2025,5869,4.2,134,60,41,argentina,0,actualidad,0,0,sin_netflix,0,sin_compras
2025-06-15,Sunday,6,2025,426,0.3,9,0,0,sin_musica,0,sin_podcast,458,43,otros,0,sin_compras
2025-06-16,Monday,6,2025,816,0.5,13,59,15,argentina,0,actualidad,162,9,drama_emocional,0,sin_compras
2025-06-17,Tuesday,6,2025,8119,5.2,220,183,69,no_determinado,1,bienestar_desarrollo,0,0,sin_netflix,0,sin_compras
2025-06-18,Wednesday,6,2025,5799,3.8,162,14,5,no_determinado,0,bienestar_desarrollo,0,0,sin_netflix,1,hogar
2025-06-19,Thursday,6,2025,6112,3.9,155,16,2,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-06-20,Friday,6,2025,26,0.0,1,0,0,sin_musica,0,sin_podcast,147,17,comedia,0,sin_compras
2025-06-21,Saturday,6,2025,462,0.3,9,9,1,argentina,0,actualidad,108,4,otros,0,sin_compras
2025-06-22,Sunday,6,2025,5545,3.6,115,7,3,no_determinado,0,sin_podcast,276,13,drama_emocional,0,sin_compras
2025-06-23,Monday,6,2025,7865,5.6,213,8,4,argentina,69,actualidad,21,1,drama_emocional,1,indumentaria
2025-06-24,Tuesday,6,2025,9478,6.4,244,0,0,sin_musica,0,sin_podcast,31,2,drama_emocional,0,sin_compras
2025-06-25,Wednesday,6,2025,5353,3.4,133,0,0,sin_musica,0,sin_podcast,212,7,drama_emocional,0,sin_compras
2025-06-26,Thursday,6,2025,7290,4.6,198,35,23,argentina,0,otros,73,4,drama_emocional,0,sin_compras
2025-06-27,Friday,6,2025,5979,4.4,177,0,0,sin_musica,0,sin_podcast,98,4,drama_emocional,0,sin_compras
2025-06-28,Saturday,6,2025,5423,3.9,126,0,0,sin_musica,0,sin_podcast,130,4,drama_emocional,0,sin_compras
2025-06-29,Sunday,6,2025,82,0.0,1,0,0,sin_musica,0,actualidad,531,17,drama_emocional,0,sin_compras
2025-06-30,Monday,6,2025,9065,6.4,249,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-07-01,Tuesday,7,2025,4931,3.5,156,4,4,no_determinado,0,sin_podcast,28,2,drama_emocional,0,sin_compras
2025-07-02,Wednesday,7,2025,6210,4.2,188,8,9,argentina,0,sin_podcast,10,1,drama_emocional,0,sin_compras
2025-07-03,Thursday,7,2025,6152,4.1,178,65,24,no_determinado,0,sin_podcast,247,6,drama_emocional,0,sin_compras
2025-07-04,Friday,7,2025,8947,6.6,235,112,5,instrumental,0,sin_podcast,82,3,drama_emocional,0,sin_compras
2025-07-05,Saturday,7,2025,4086,2.9,92,0,0,sin_musica,0,sin_podcast,245,8,otros,0,sin_compras
2025-07-06,Sunday,7,2025,8306,5.7,204,166,5,instrumental,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-07-07,Monday,7,2025,5185,3.6,156,0,0,sin_musica,0,sin_podcast,52,2,crimen_thriller,0,sin_compras
2025-07-08,Tuesday,7,2025,5920,4.0,173,134,7,instrumental,0,sin_podcast,230,7,crimen_thriller,0,sin_compras
2025-07-09,Wednesday,7,2025,2211,1.4,46,294,21,instrumental,0,sin_podcast,367,18,otros,0,sin_compras
2025-07-10,Thursday,7,2025,5637,3.9,159,74,13,argentina,0,actualidad,52,3,otros,0,sin_compras
2025-07-11,Friday,7,2025,4676,3.2,104,0,0,sin_musica,0,actualidad,128,6,otros,0,sin_compras
2025-07-12,Saturday,7,2025,2673,1.9,62,31,4,latinoamerica,0,sin_podcast,97,5,crimen_thriller,0,sin_compras
2025-07-13,Sunday,7,2025,6282,4.0,121,56,11,argentina,0,sin_podcast,391,17,otros,0,sin_compras
2025-07-14,Monday,7,2025,5013,3.4,132,6,4,latinoamerica,0,sin_podcast,88,3,cultural_historico,0,sin_compras
2025-07-15,Tuesday,7,2025,9514,6.3,268,2,4,instrumental,0,sin_podcast,80,1,otros,0,sin_compras
2025-07-16,Wednesday,7,2025,7046,4.9,185,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-07-17,Thursday,7,2025,6291,4.0,176,25,4,argentina,39,actualidad,0,0,sin_netflix,0,sin_compras
2025-07-18,Friday,7,2025,2622,1.9,65,50,7,latinoamerica,0,bienestar_desarrollo,29,3,crimen_thriller,0,sin_compras
2025-07-19,Saturday,7,2025,5881,4.3,146,0,0,sin_musica,0,sin_podcast,240,8,crimen_thriller,0,sin_compras
2025-07-20,Sunday,7,2025,7274,5.2,175,27,44,no_determinado,48,otros,303,21,crimen_thriller,0,sin_compras
2025-07-21,Monday,7,2025,5132,3.6,151,29,31,argentina,0,otros,38,1,drama_emocional,0,sin_compras
2025-07-22,Tuesday,7,2025,5796,3.8,150,13,2,latinoamerica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-07-23,Wednesday,7,2025,6619,4.4,196,39,14,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-07-24,Thursday,7,2025,437,0.2,7,14,7,argentina,0,cultural,0,0,sin_netflix,0,sin_compras
2025-07-25,Friday,7,2025,2664,1.9,63,107,81,no_determinado,0,cultural,164,5,crimen_thriller,0,sin_compras
2025-07-26,Saturday,7,2025,1613,1.1,34,31,20,usa,0,sin_podcast,439,28,comedia,0,sin_compras
2025-07-27,Sunday,7,2025,16,0.0,1,31,46,no_determinado,0,sin_podcast,490,18,crimen_thriller,0,sin_compras
2025-07-28,Monday,7,2025,4779,3.4,135,8,12,no_determinado,0,sin_podcast,53,2,crimen_thriller,0,sin_compras
2025-07-29,Tuesday,7,2025,6055,4.2,191,34,29,no_determinado,0,actualidad,148,10,crimen_thriller,0,sin_compras
2025-07-30,Wednesday,7,2025,6444,4.3,179,96,65,no_determinado,0,actualidad,167,11,crimen_thriller,0,sin_compras
2025-07-31,Thursday,7,2025,6673,4.4,199,76,67,no_determinado,0,sin_podcast,27,1,crimen_thriller,0,sin_compras
2025-08-01,Friday,8,2025,6214,3.7,117,0,0,sin_musica,0,sin_podcast,97,5,comedia,0,sin_compras
2025-08-02,Saturday,8,2025,5382,3.6,113,0,0,sin_musica,0,sin_podcast,325,26,crimen_thriller,0,sin_compras
2025-08-03,Sunday,8,2025,3773,2.5,74,23,48,argentina,0,sin_podcast,264,20,drama_emocional,2,indumentaria
2025-08-04,Monday,8,2025,4458,3.1,123,20,13,usa,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-08-05,Tuesday,8,2025,5909,3.8,159,59,27,argentina,0,bienestar_desarrollo,0,0,sin_netflix,0,sin_compras
2025-08-06,Wednesday,8,2025,5997,4.0,160,4,16,no_determinado,0,bienestar_desarrollo,0,0,sin_netflix,0,sin_compras
2025-08-07,Thursday,8,2025,557,0.4,12,6,16,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-08-08,Friday,8,2025,5958,4.3,168,47,81,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-08-09,Saturday,8,2025,4897,3.5,121,0,0,sin_musica,0,sin_podcast,175,7,cultural_historico,0,sin_compras
2025-08-10,Sunday,8,2025,2906,2.0,50,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-08-11,Monday,8,2025,6488,4.6,149,0,0,sin_musica,0,sin_podcast,91,3,cultural_historico,0,sin_compras
2025-08-12,Tuesday,8,2025,5506,3.5,152,0,0,sin_musica,0,sin_podcast,359,11,cultural_historico,0,sin_compras
2025-08-13,Wednesday,8,2025,5213,3.5,144,45,61,argentina,0,sin_podcast,157,8,otros,0,sin_compras
2025-08-14,Thursday,8,2025,5903,4.0,162,25,6,no_determinado,0,sin_podcast,94,3,crimen_thriller,0,sin_compras
2025-08-15,Friday,8,2025,1700,1.1,39,0,0,sin_musica,0,sin_podcast,435,14,crimen_thriller,0,sin_compras
2025-08-16,Saturday,8,2025,1207,0.8,22,275,13,no_determinado,0,actualidad,377,35,cultural_historico,0,sin_compras
2025-08-17,Sunday,8,2025,476,0.3,14,9,3,usa,0,sin_podcast,308,17,crimen_thriller,0,sin_compras
2025-08-18,Monday,8,2025,8888,5.8,221,57,25,argentina,0,sin_podcast,98,2,crimen_thriller,0,sin_compras
2025-08-19,Tuesday,8,2025,7216,4.8,182,0,0,sin_musica,0,sin_podcast,183,6,crimen_thriller,0,sin_compras
2025-08-20,Wednesday,8,2025,6716,4.4,159,5,4,usa,0,otros,192,5,crimen_thriller,0,sin_compras
2025-08-21,Thursday,8,2025,1515,1.0,29,178,77,no_determinado,39,actualidad,208,8,crimen_thriller,0,sin_compras
2025-08-22,Friday,8,2025,10182,7.3,251,24,19,no_determinado,4,bienestar_desarrollo,86,6,crimen_thriller,0,sin_compras
2025-08-23,Saturday,8,2025,3814,2.5,83,10,1,argentina,44,actualidad,283,7,crimen_thriller,0,sin_compras
2025-08-24,Sunday,8,2025,2318,1.4,37,17,11,argentina,0,sin_podcast,504,11,crimen_thriller,0,sin_compras
2025-08-25,Monday,8,2025,8351,5.5,194,11,7,argentina,0,sin_podcast,251,5,crimen_thriller,0,sin_compras
2025-08-26,Tuesday,8,2025,5262,3.6,131,0,0,sin_musica,0,sin_podcast,273,8,crimen_thriller,0,sin_compras
2025-08-27,Wednesday,8,2025,6689,4.5,167,0,0,sin_musica,0,sin_podcast,338,11,crimen_thriller,0,sin_compras
2025-08-28,Thursday,8,2025,6682,4.2,173,151,40,instrumental,0,sin_podcast,64,7,crimen_thriller,0,sin_compras
2025-08-29,Friday,8,2025,2735,1.9,64,229,5,instrumental,1,salud,134,8,otros,0,sin_compras
2025-08-30,Saturday,8,2025,16886,11.2,367,6,16,no_determinado,33,actualidad,75,5,otros,0,sin_compras
2025-08-31,Sunday,8,2025,1779,1.1,38,11,1,no_determinado,0,sin_podcast,205,10,cultural_historico,1,bienestar
2025-09-01,Monday,9,2025,6701,4.6,181,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-09-02,Tuesday,9,2025,5053,3.3,131,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-09-03,Wednesday,9,2025,8759,5.8,211,18,8,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-09-04,Thursday,9,2025,6900,4.4,169,97,25,usa,0,sin_podcast,136,13,otros,0,sin_compras
2025-09-05,Friday,9,2025,7787,5.3,190,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-09-06,Saturday,9,2025,4489,3.0,96,47,37,argentina,0,sin_podcast,127,12,cultural_historico,2,tecnologia
2025-09-07,Sunday,9,2025,3967,2.5,73,0,0,sin_musica,0,sin_podcast,702,22,cultural_historico,0,sin_compras
2025-09-08,Monday,9,2025,6617,4.7,175,0,0,sin_musica,0,sin_podcast,113,3,cultural_historico,0,sin_compras
2025-09-09,Tuesday,9,2025,6709,4.3,196,0,0,sin_musica,0,sin_podcast,51,2,cultural_historico,0,sin_compras
2025-09-10,Wednesday,9,2025,7607,5.0,188,0,0,sin_musica,0,sin_podcast,207,8,cultural_historico,0,sin_compras
2025-09-11,Thursday,9,2025,1678,1.0,30,140,89,no_determinado,55,bienestar_desarrollo,0,0,sin_netflix,0,sin_compras
2025-09-12,Friday,9,2025,415,0.3,7,3,1,argentina,0,sin_podcast,9,1,cultural_historico,0,sin_compras
2025-09-13,Saturday,9,2025,3878,2.6,85,28,50,argentina,0,actualidad,86,5,cultural_historico,0,sin_compras
2025-09-14,Sunday,9,2025,9990,6.7,217,0,0,sin_musica,0,sin_podcast,391,11,cultural_historico,0,sin_compras
2025-09-15,Monday,9,2025,6299,4.4,161,0,1,argentina,41,cultural,116,3,cultural_historico,0,sin_compras
2025-09-16,Tuesday,9,2025,5528,3.6,143,19,11,argentina,43,cultural,78,3,cultural_historico,1,hogar
2025-09-17,Wednesday,9,2025,11422,7.2,263,0,3,argentina,0,sin_podcast,44,2,cultural_historico,0,sin_compras
2025-09-18,Thursday,9,2025,5603,3.8,156,0,0,sin_musica,0,sin_podcast,229,18,cultural_historico,1,movilidad
2025-09-19,Friday,9,2025,4415,3.0,98,0,1,argentina,0,sin_podcast,151,8,crimen_thriller,1,belleza
2025-09-20,Saturday,9,2025,2074,1.3,37,0,0,sin_musica,0,sin_podcast,86,3,crimen_thriller,0,sin_compras
2025-09-21,Sunday,9,2025,7042,4.6,164,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-09-22,Monday,9,2025,2870,1.8,88,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-09-23,Tuesday,9,2025,12658,8.8,299,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
