date,weekday,month,year,steps,distance_km,active_kcal,music_minutes_total,music_unique_artists,music_main_context,podcast_minutes_total,podcast_main_topic,netflix_minutes_total,netflix_interactions,netflix_content_topic,ml_purchases,ml_main_category
2025-01-01,Wednesday,1,2025,24.0,0.0,1,0,0,sin_musica,0,sin_podcast,664,22,drama_emocional,0,sin_compras
2025-01-02,Thursday,1,2025,6616.0,4.4,173,0,0,sin_musica,0,sin_podcast,88,2,drama_emocional,0,sin_compras
2025-01-03,Friday,1,2025,7598.0,5.4,158,0,0,sin_musica,0,sin_podcast,115,5,drama_emocional,0,sin_compras
2025-01-04,Saturday,1,2025,7428.0,5.2,172,0,0,sin_musica,0,sin_podcast,531,19,crimen_thriller,0,sin_compras
2025-01-05,Sunday,1,2025,238.0,0.2,3,0,0,sin_musica,0,sin_podcast,345,18,crimen_thriller,0,sin_compras
2025-01-06,Monday,1,2025,5663.0,3.7,129,0,0,sin_musica,0,sin_podcast,6,2,drama_emocional,0,sin_compras
2025-01-07,Tuesday,1,2025,7169.0,4.6,161,0,0,sin_musica,0,sin_podcast,81,4,otros,0,sin_compras
2025-01-08,Wednesday,1,2025,5732.0,3.9,192,0,0,sin_musica,0,sin_podcast,88,5,otros,0,sin_compras
2025-01-09,Thursday,1,2025,5757.0,3.8,143,0,0,sin_musica,0,sin_podcast,43,2,otros,0,sin_compras
2025-01-10,Friday,1,2025,8570.0,5.8,183,0,0,sin_musica,0,sin_podcast,195,7,crimen_thriller,0,sin_compras
2025-01-11,Saturday,1,2025,4357.0,3.1,107,0,0,sin_musica,0,sin_podcast,488,14,crimen_thriller,0,sin_compras
2025-01-12,Sunday,1,2025,4407.0,3.2,106,0,0,sin_musica,0,sin_podcast,441,12,crimen_thriller,0,sin_compras
2025-01-13,Monday,1,2025,5670.0,3.9,119,0,0,sin_musica,0,sin_podcast,47,4,crimen_thriller,0,sin_compras
2025-01-14,Tuesday,1,2025,7012.0,4.6,200,0,0,sin_musica,0,sin_podcast,140,4,crimen_thriller,0,sin_compras
2025-01-15,Wednesday,1,2025,7966.0,5.6,176,0,0,sin_musica,0,sin_podcast,502,13,crimen_thriller,0,sin_compras
2025-01-16,Thursday,1,2025,7548.0,4.5,159,0,0,sin_musica,0,sin_podcast,179,5,crimen_thriller,0,sin_compras
2025-01-17,Friday,1,2025,5881.0,3.8,112,0,0,sin_musica,0,sin_podcast,330,9,crimen_thriller,0,sin_compras
2025-01-18,Saturday,1,2025,5183.0,3.4,112,0,0,sin_musica,0,sin_podcast,555,18,crimen_thriller,0,sin_compras
2025-01-19,Sunday,1,2025,3658.0,2.4,75,0,0,sin_musica,0,sin_podcast,435,17,comedia,0,sin_compras
2025-01-20,Monday,1,2025,5612.0,3.4,118,0,0,sin_musica,0,sin_podcast,0,1,solo_trailers,0,sin_compras
2025-01-21,Tuesday,1,2025,9024.0,5.5,196,0,0,sin_musica,0,sin_podcast,127,19,drama_emocional,0,sin_compras
2025-01-22,Wednesday,1,2025,3703.0,2.5,79,0,0,sin_musica,0,sin_podcast,255,6,crimen_thriller,0,sin_compras
2025-01-23,Thursday,1,2025,7611.0,5.0,211,0,0,sin_musica,0,sin_podcast,178,4,crimen_thriller,0,sin_compras
2025-01-24,Friday,1,2025,8792.0,6.0,188,0,0,sin_musica,0,sin_podcast,204,7,crimen_thriller,0,sin_compras
2025-01-25,Saturday,1,2025,8043.0,5.5,173,0,0,sin_musica,0,sin_podcast,290,14,crimen_thriller,0,sin_compras
2025-01-26,Sunday,1,2025,445.0,0.3,10,0,0,sin_musica,0,sin_podcast,177,10,comedia,0,sin_compras
2025-01-27,Monday,1,2025,5312.0,3.4,138,0,0,sin_musica,0,sin_podcast,17,1,salud,0,sin_compras
2025-01-28,Tuesday,1,2025,6330.0,4.1,155,0,0,sin_musica,0,sin_podcast,154,6,salud,0,sin_compras
2025-01-29,Wednesday,1,2025,6948.0,4.9,164,0,0,sin_musica,0,sin_podcast,410,16,cultural_historico,0,sin_compras
2025-01-30,Thursday,1,2025,9479.0,5.7,236,0,0,sin_musica,0,sin_podcast,146,6,cultural_historico,0,sin_compras
2025-01-31,Friday,1,2025,9175.0,6.4,208,0,0,sin_musica,0,sin_podcast,116,5,cultural_historico,0,sin_compras
2025-02-01,Saturday,2,2025,8068.0,5.6,189,0,0,sin_musica,0,sin_podcast,124,9,cultural_historico,0,sin_compras
2025-02-02,Sunday,2,2025,3128.0,2.3,81,0,0,sin_musica,0,sin_podcast,206,13,comedia,0,sin_compras
2025-02-03,Monday,2,2025,5384.0,3.6,129,0,0,sin_musica,0,sin_podcast,22,1,comedia,0,sin_compras
2025-02-04,Tuesday,2,2025,6543.0,4.2,160,0,0,sin_musica,0,sin_podcast,142,6,comedia,0,sin_compras
2025-02-05,Wednesday,2,2025,2621.0,1.9,85,0,0,sin_musica,0,sin_podcast,84,8,comedia,0,sin_compras
2025-02-06,Thursday,2,2025,8191.0,5.3,209,0,0,sin_musica,0,sin_podcast,53,4,comedia,0,sin_compras
2025-02-07,Friday,2,2025,4390.0,3.0,93,0,0,sin_musica,0,sin_podcast,212,7,comedia,0,sin_compras
2025-02-08,Saturday,2,2025,5378.0,3.7,121,0,0,sin_musica,0,sin_podcast,107,4,crimen_thriller,0,sin_compras
2025-02-09,Sunday,2,2025,3030.0,2.0,73,0,0,sin_musica,0,sin_podcast,185,10,comedia,0,sin_compras
2025-02-10,Monday,2,2025,7713.0,5.2,179,0,0,sin_musica,0,sin_podcast,20,1,comedia,0,sin_compras
2025-02-11,Tuesday,2,2025,6625.0,4.4,213,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-02-12,Wednesday,2,2025,7050.0,4.9,198,0,0,sin_musica,0,sin_podcast,33,3,crimen_thriller,0,sin_compras
2025-02-13,Thursday,2,2025,6120.0,4.0,153,0,0,sin_musica,0,sin_podcast,159,4,crimen_thriller,0,sin_compras
2025-02-14,Friday,2,2025,9932.0,6.9,214,0,0,sin_musica,0,sin_podcast,64,6,crimen_thriller,0,sin_compras
2025-02-15,Saturday,2,2025,4410.0,3.1,92,0,0,sin_musica,0,sin_podcast,282,14,drama_emocional,0,sin_compras
2025-02-16,Sunday,2,2025,156.0,0.1,2,0,0,sin_musica,0,sin_podcast,262,10,drama_emocional,0,sin_compras
2025-02-17,Monday,2,2025,2477.0,1.6,58,0,0,sin_musica,0,sin_podcast,77,5,cultural_historico,0,sin_compras
2025-02-18,Tuesday,2,2025,5557.0,3.8,128,0,0,sin_musica,0,sin_podcast,107,3,crimen_thriller,0,sin_compras
2025-02-19,Wednesday,2,2025,5174.0,3.6,148,0,0,sin_musica,0,sin_podcast,14,7,crimen_thriller,0,sin_compras
2025-02-20,Thursday,2,2025,6232.0,4.1,154,0,0,sin_musica,0,sin_podcast,158,3,ciencia_ficcion,0,sin_compras
2025-02-21,Friday,2,2025,5311.0,3.7,110,0,0,sin_musica,0,sin_podcast,33,1,ciencia_ficcion,0,sin_compras
2025-02-22,Saturday,2,2025,3379.0,2.4,87,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-02-23,Sunday,2,2025,5249.0,3.5,114,0,0,sin_musica,0,sin_podcast,333,14,comedia,0,sin_compras
2025-02-24,Monday,2,2025,5120.0,3.4,118,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-02-25,Tuesday,2,2025,7824.0,4.9,206,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-02-26,Wednesday,2,2025,5488.0,3.6,145,0,0,sin_musica,0,sin_podcast,122,5,ciencia_ficcion,0,sin_compras
2025-02-27,Thursday,2,2025,6613.0,4.4,163,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-02-28,Friday,2,2025,5495.0,3.9,121,0,0,sin_musica,0,sin_podcast,39,5,drama_emocional,0,sin_compras
2025-03-01,Saturday,3,2025,7946.0,5.4,153,0,0,sin_musica,0,sin_podcast,61,4,drama_emocional,0,sin_compras
2025-03-02,Sunday,3,2025,2931.0,1.9,120,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-03-03,Monday,3,2025,10945.0,7.6,232,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-03-04,Tuesday,3,2025,4259.0,2.9,90,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-03-05,Wednesday,3,2025,6598.0,4.2,169,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-03-06,Thursday,3,2025,5752.0,3.9,149,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-03-07,Friday,3,2025,4987.0,3.4,126,0,0,sin_musica,0,sin_podcast,267,18,drama_emocional,0,sin_compras
2025-03-08,Saturday,3,2025,3984.0,2.7,93,0,0,sin_musica,0,sin_podcast,325,14,otros,0,sin_compras
2025-03-09,Sunday,3,2025,774.0,0.5,13,0,0,sin_musica,0,sin_podcast,308,10,otros,0,sin_compras
2025-03-10,Monday,3,2025,6237.0,4.3,156,242,88,no_determinado,0,sin_podcast,170,10,otros,0,sin_compras
2025-03-11,Tuesday,3,2025,8530.0,5.5,261,68,68,no_determinado,0,sin_podcast,38,2,otros,0,sin_compras
2025-03-12,Wednesday,3,2025,7323.0,4.7,182,84,50,argentina,0,actualidad,45,2,otros,0,sin_compras
2025-03-13,Thursday,3,2025,7214.0,4.7,177,85,40,argentina,1,salud,10,1,otros,1,bienestar
2025-03-14,Friday,3,2025,6311.0,4.4,135,109,62,no_determinado,0,actualidad,140,5,otros,0,sin_compras
2025-03-15,Saturday,3,2025,4128.0,2.8,89,183,15,instrumental,0,sin_podcast,204,11,drama_emocional,0,sin_compras
2025-03-16,Sunday,3,2025,4353.0,3.1,105,142,84,no_determinado,0,sin_podcast,304,14,drama_emocional,0,sin_compras
2025-03-17,Monday,3,2025,6890.0,4.4,175,49,61,no_determinado,0,salud,57,3,drama_emocional,0,sin_compras
2025-03-18,Tuesday,3,2025,8687.0,5.5,257,80,24,no_determinado,0,actualidad,64,2,drama_emocional,0,sin_compras
2025-03-19,Wednesday,3,2025,9729.0,5.9,231,0,0,sin_musica,0,sin_podcast,128,7,otros,0,sin_compras
2025-03-20,Thursday,3,2025,7486.0,4.6,163,12,19,latinoamerica,0,actualidad,99,2,drama_emocional,0,sin_compras
2025-03-21,Friday,3,2025,4068.0,2.8,81,8,1,usa,0,otros,44,4,drama_emocional,0,sin_compras
2025-03-22,Saturday,3,2025,6301.0,4.4,151,60,99,no_determinado,0,sin_podcast,348,17,drama_emocional,0,sin_compras
2025-03-23,Sunday,3,2025,682.0,0.4,11,18,4,argentina,11,otros,342,17,drama_emocional,0,sin_compras
2025-03-24,Monday,3,2025,2126.0,1.4,43,145,51,argentina,7,salud,7,2,drama_emocional,0,sin_compras
2025-03-25,Tuesday,3,2025,6149.0,3.8,139,85,55,argentina,0,sin_podcast,97,4,drama_emocional,0,sin_compras
2025-03-26,Wednesday,3,2025,6781.0,4.5,192,25,31,no_determinado,0,sin_podcast,86,2,drama_emocional,0,sin_compras
